[2026-06-18 14:25:05] DATA_REC_STREAM -> 온도: 15 °C, 습도: 65 %
[2026-06-18 16:39:43] DATA_REC_STREAM -> 온도: 20 °C, 습도: 57 %
[2026-06-18 16:39:53] DATA_REC_STREAM -> 온도: 24 °C, 습도: 43 %
[2026-06-18 16:40:03] DATA_REC_STREAM -> 온도: 26 °C, 습도: 63 %
[2026-06-18 16:40:13] DATA_REC_STREAM -> 온도: 28 °C, 습도: 43 %
[2026-06-18 16:40:23] DATA_REC_STREAM -> 온도: 16 °C, 습도: 54 %
[2026-06-18 16:40:33] DATA_REC_STREAM -> 온도: 28 °C, 습도: 41 %
[2026-06-18 16:40:43] DATA_REC_STREAM -> 온도: 22 °C, 습도: 55 %
[2026-06-18 16:40:53] DATA_REC_STREAM -> 온도: 17 °C, 습도: 41 %
[2026-06-18 16:41:03] DATA_REC_STREAM -> 온도: 20 °C, 습도: 52 %
[2026-06-18 16:41:13] DATA_REC_STREAM -> 온도: 18 °C, 습도: 50 %
[2026-06-18 16:41:23] DATA_REC_STREAM -> 온도: 24 °C, 습도: 65 %
[2026-06-18 16:41:33] DATA_REC_STREAM -> 온도: 27 °C, 습도: 65 %
[2026-06-18 16:41:43] DATA_REC_STREAM -> 온도: 21 °C, 습도: 65 %
[2026-06-18 16:41:53] DATA_REC_STREAM -> 온도: 15 °C, 습도: 51 %
[2026-06-18 16:42:03] DATA_REC_STREAM -> 온도: 23 °C, 습도: 47 %
[2026-06-18 16:42:13] DATA_REC_STREAM -> 온도: 24 °C, 습도: 40 %
[2026-06-18 16:42:24] DATA_REC_STREAM -> 온도: 23 °C, 습도: 64 %
[2026-06-18 16:42:34] DATA_REC_STREAM -> 온도: 17 °C, 습도: 58 %
[2026-06-18 16:42:44] DATA_REC_STREAM -> 온도: 20 °C, 습도: 64 %
[2026-06-18 16:42:54] DATA_REC_STREAM -> 온도: 26 °C, 습도: 45 %
[2026-06-18 16:43:04] DATA_REC_STREAM -> 온도: 23 °C, 습도: 42 %
[2026-06-18 16:43:14] DATA_REC_STREAM -> 온도: 17 °C, 습도: 41 %
[2026-06-18 16:43:24] DATA_REC_STREAM -> 온도: 16 °C, 습도: 41 %
[2026-06-18 16:43:34] DATA_REC_STREAM -> 온도: 25 °C, 습도: 64 %
[2026-06-18 16:43:44] DATA_REC_STREAM -> 온도: 17 °C, 습도: 45 %
[2026-06-18 16:43:54] DATA_REC_STREAM -> 온도: 27 °C, 습도: 41 %
[2026-06-18 16:44:04] DATA_REC_STREAM -> 온도: 22 °C, 습도: 59 %
[2026-06-18 16:44:14] DATA_REC_STREAM -> 온도: 25 °C, 습도: 58 %
[2026-06-18 16:44:24] DATA_REC_STREAM -> 온도: 26 °C, 습도: 59 %
[2026-06-18 16:44:34] DATA_REC_STREAM -> 온도: 18 °C, 습도: 47 %
[2026-06-18 16:44:44] DATA_REC_STREAM -> 온도: 19 °C, 습도: 58 %
[2026-06-18 16:44:54] DATA_REC_STREAM -> 온도: 22 °C, 습도: 60 %
[2026-06-18 16:45:04] DATA_REC_STREAM -> 온도: 28 °C, 습도: 57 %
[2026-06-18 16:45:14] DATA_REC_STREAM -> 온도: 25 °C, 습도: 50 %
[2026-06-18 16:45:24] DATA_REC_STREAM -> 온도: 26 °C, 습도: 58 %
[2026-06-18 16:45:34] DATA_REC_STREAM -> 온도: 26 °C, 습도: 54 %
[2026-06-18 16:45:44] DATA_REC_STREAM -> 온도: 17 °C, 습도: 47 %
[2026-06-18 16:45:54] DATA_REC_STREAM -> 온도: 21 °C, 습도: 56 %
[2026-06-18 16:46:04] DATA_REC_STREAM -> 온도: 23 °C, 습도: 57 %
[2026-06-18 16:46:14] DATA_REC_STREAM -> 온도: 23 °C, 습도: 42 %
[2026-06-18 16:46:24] DATA_REC_STREAM -> 온도: 17 °C, 습도: 53 %
[2026-06-18 16:46:34] DATA_REC_STREAM -> 온도: 27 °C, 습도: 60 %
[2026-06-18 16:46:44] DATA_REC_STREAM -> 온도: 15 °C, 습도: 61 %
[2026-06-18 16:46:54] DATA_REC_STREAM -> 온도: 21 °C, 습도: 56 %
[2026-06-18 16:47:04] DATA_REC_STREAM -> 온도: 15 °C, 습도: 40 %
[2026-06-18 16:47:14] DATA_REC_STREAM -> 온도: 22 °C, 습도: 59 %
[2026-06-18 16:47:24] DATA_REC_STREAM -> 온도: 20 °C, 습도: 50 %
[2026-06-18 16:47:34] DATA_REC_STREAM -> 온도: 26 °C, 습도: 53 %
[2026-06-18 16:47:44] DATA_REC_STREAM -> 온도: 16 °C, 습도: 49 %
[2026-06-18 16:47:54] DATA_REC_STREAM -> 온도: 28 °C, 습도: 42 %
[2026-06-18 16:48:04] DATA_REC_STREAM -> 온도: 24 °C, 습도: 45 %
[2026-06-18 16:48:14] DATA_REC_STREAM -> 온도: 18 °C, 습도: 60 %
[2026-06-18 16:48:28] DATA_REC_STREAM -> 온도: 17 °C, 습도: 45 %
[2026-06-18 16:48:38] DATA_REC_STREAM -> 온도: 26 °C, 습도: 54 %
[2026-06-18 16:48:48] DATA_REC_STREAM -> 온도: 28 °C, 습도: 52 %
[2026-06-18 16:48:58] DATA_REC_STREAM -> 온도: 27 °C, 습도: 42 %
[2026-06-18 16:49:08] DATA_REC_STREAM -> 온도: 26 °C, 습도: 59 %
[2026-06-18 16:49:18] DATA_REC_STREAM -> 온도: 26 °C, 습도: 47 %
[2026-06-18 16:49:28] DATA_REC_STREAM -> 온도: 25 °C, 습도: 55 %
[2026-06-18 16:49:38] DATA_REC_STREAM -> 온도: 23 °C, 습도: 45 %
[2026-06-18 16:49:48] DATA_REC_STREAM -> 온도: 15 °C, 습도: 49 %
[2026-06-18 16:49:58] DATA_REC_STREAM -> 온도: 26 °C, 습도: 61 %
[2026-06-18 16:50:08] DATA_REC_STREAM -> 온도: 21 °C, 습도: 53 %
[2026-06-18 16:50:18] DATA_REC_STREAM -> 온도: 22 °C, 습도: 63 %
[2026-06-18 16:50:28] DATA_REC_STREAM -> 온도: 24 °C, 습도: 46 %
[2026-06-18 16:50:38] DATA_REC_STREAM -> 온도: 18 °C, 습도: 47 %
[2026-06-18 16:50:48] DATA_REC_STREAM -> 온도: 25 °C, 습도: 63 %
[2026-06-18 16:50:58] DATA_REC_STREAM -> 온도: 19 °C, 습도: 61 %
[2026-06-18 16:51:08] DATA_REC_STREAM -> 온도: 24 °C, 습도: 55 %
[2026-06-18 16:51:18] DATA_REC_STREAM -> 온도: 16 °C, 습도: 47 %
[2026-06-18 16:51:28] DATA_REC_STREAM -> 온도: 26 °C, 습도: 60 %
[2026-06-18 16:51:38] DATA_REC_STREAM -> 온도: 28 °C, 습도: 60 %
[2026-06-18 16:51:48] DATA_REC_STREAM -> 온도: 18 °C, 습도: 65 %
[2026-06-18 16:51:58] DATA_REC_STREAM -> 온도: 24 °C, 습도: 57 %
[2026-06-18 16:52:08] DATA_REC_STREAM -> 온도: 23 °C, 습도: 52 %
[2026-06-18 16:52:18] DATA_REC_STREAM -> 온도: 21 °C, 습도: 56 %
[2026-06-18 16:52:28] DATA_REC_STREAM -> 온도: 25 °C, 습도: 58 %
[2026-06-18 16:52:38] DATA_REC_STREAM -> 온도: 17 °C, 습도: 41 %
[2026-06-18 16:52:48] DATA_REC_STREAM -> 온도: 26 °C, 습도: 43 %
[2026-06-18 16:59:13] DATA_REC_STREAM -> 온도: 22 °C, 습도: 57 %
[2026-06-18 16:59:23] DATA_REC_STREAM -> 온도: 27 °C, 습도: 49 %
[2026-06-18 17:01:10] DATA_REC_STREAM -> 온도: 28 °C, 습도: 53 %
[2026-06-18 17:01:20] DATA_REC_STREAM -> 온도: 20 °C, 습도: 55 %
[2026-06-18 17:02:00] DATA_REC_STREAM -> 온도: 28 °C, 습도: 53 %
[2026-06-18 17:10:52] DATA_REC_STREAM -> 온도: 16 °C, 습도: 63 %
[2026-06-18 17:11:02] DATA_REC_STREAM -> 온도: 24 °C, 습도: 55 %
[2026-06-18 17:11:12] DATA_REC_STREAM -> 온도: 15 °C, 습도: 61 %
[2026-06-18 17:11:22] DATA_REC_STREAM -> 온도: 27 °C, 습도: 62 %
[2026-06-18 17:11:32] DATA_REC_STREAM -> 온도: 22 °C, 습도: 42 %
[2026-06-18 17:11:42] DATA_REC_STREAM -> 온도: 23 °C, 습도: 60 %
[2026-06-18 17:11:52] DATA_REC_STREAM -> 온도: 27 °C, 습도: 55 %
[2026-06-18 17:12:02] DATA_REC_STREAM -> 온도: 21 °C, 습도: 43 %
[2026-06-18 17:12:12] DATA_REC_STREAM -> 온도: 23 °C, 습도: 56 %
[2026-06-18 17:12:22] DATA_REC_STREAM -> 온도: 26 °C, 습도: 65 %
[2026-06-18 17:12:39] DATA_REC_STREAM -> 온도: 17 °C, 습도: 50 %
[2026-06-18 18:54:59] DATA_REC_STREAM -> 온도: 23 °C, 습도: 45 %
[2026-06-18 18:55:09] DATA_REC_STREAM -> 온도: 23 °C, 습도: 62 %
[2026-06-18 18:55:19] DATA_REC_STREAM -> 온도: 26 °C, 습도: 61 %
[2026-06-18 18:55:29] DATA_REC_STREAM -> 온도: 19 °C, 습도: 51 %
[2026-06-18 18:55:39] DATA_REC_STREAM -> 온도: 28 °C, 습도: 41 %
[2026-06-18 18:55:55] DATA_REC_STREAM -> 온도: 26 °C, 습도: 41 %
[2026-06-18 18:56:15] DATA_REC_STREAM -> 온도: 27 °C, 습도: 42 %
[2026-06-18 18:56:25] DATA_REC_STREAM -> 온도: 24 °C, 습도: 54 %
[2026-06-18 18:56:35] DATA_REC_STREAM -> 온도: 28 °C, 습도: 43 %
[2026-06-18 18:56:45] DATA_REC_STREAM -> 온도: 24 °C, 습도: 45 %
[2026-06-18 18:56:55] DATA_REC_STREAM -> 온도: 20 °C, 습도: 63 %
[2026-06-18 18:57:05] DATA_REC_STREAM -> 온도: 26 °C, 습도: 61 %
[2026-06-18 18:57:15] DATA_REC_STREAM -> 온도: 17 °C, 습도: 52 %
[2026-06-18 18:57:25] DATA_REC_STREAM -> 온도: 16 °C, 습도: 59 %
