[2026-06-12 15:32:28] 온도: 12°C | 습도: 74% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:46:11] 온도: 20°C | 습도: 46% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:46:11] 온도: 5°C | 습도: 30% | 선풍기: OFF | 히터: ON
[2026-06-12 15:46:11] 온도: 15°C | 습도: 77% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:46:11] 온도: 15°C | 습도: 31% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:46:11] 온도: 31°C | 습도: 79% | 선풍기: ON | 히터: OFF
[2026-06-12 15:46:12] 온도: 1°C | 습도: 74% | 선풍기: OFF | 히터: ON
[2026-06-12 15:46:12] 온도: 33°C | 습도: 35% | 선풍기: ON | 히터: OFF
[2026-06-12 15:46:12] 온도: 12°C | 습도: 77% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:46:12] 온도: 23°C | 습도: 40% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:46:12] 온도: 15°C | 습도: 69% | 선풍기: OFF | 히터: OFF
[2026-06-12 15:46:13] 온도: 7°C | 습도: 73% | 선풍기: OFF | 히터: ON
[2026-06-12 15:46:13] 온도: 0°C | 습도: 69% | 선풍기: OFF | 히터: ON
[2026-06-12 15:46:16] 온도: 30°C | 습도: 75% | 선풍기: ON | 히터: OFF
