[2026-06-19 14:42:20] DATA_REC_STREAM -> 온도: 18 °C, 습도: 49 %
[2026-06-19 14:56:46] DATA_REC_STREAM -> 온도: 19 °C, 습도: 49 %
[2026-06-19 14:56:56] DATA_REC_STREAM -> 온도: 25 °C, 습도: 60 %
[2026-06-19 14:57:06] DATA_REC_STREAM -> 온도: 28 °C, 습도: 48 %
[2026-06-19 14:57:16] DATA_REC_STREAM -> 온도: 24 °C, 습도: 48 %
[2026-06-19 14:57:26] DATA_REC_STREAM -> 온도: 23 °C, 습도: 64 %
[2026-06-19 14:57:36] DATA_REC_STREAM -> 온도: 19 °C, 습도: 62 %
[2026-06-19 14:57:46] DATA_REC_STREAM -> 온도: 25 °C, 습도: 44 %
[2026-06-19 14:57:56] DATA_REC_STREAM -> 온도: 21 °C, 습도: 61 %
[2026-06-19 14:58:06] DATA_REC_STREAM -> 온도: 23 °C, 습도: 62 %
[2026-06-19 14:58:16] DATA_REC_STREAM -> 온도: 25 °C, 습도: 57 %
[2026-06-19 14:58:26] DATA_REC_STREAM -> 온도: 18 °C, 습도: 51 %
[2026-06-19 14:58:36] DATA_REC_STREAM -> 온도: 17 °C, 습도: 65 %
[2026-06-19 14:58:47] DATA_REC_STREAM -> 온도: 24 °C, 습도: 56 %
[2026-06-19 14:58:57] DATA_REC_STREAM -> 온도: 22 °C, 습도: 62 %
[2026-06-19 14:59:07] DATA_REC_STREAM -> 온도: 18 °C, 습도: 54 %
[2026-06-19 14:59:17] DATA_REC_STREAM -> 온도: 24 °C, 습도: 40 %
[2026-06-19 14:59:27] DATA_REC_STREAM -> 온도: 25 °C, 습도: 57 %
[2026-06-19 14:59:37] DATA_REC_STREAM -> 온도: 19 °C, 습도: 60 %
[2026-06-19 14:59:47] DATA_REC_STREAM -> 온도: 22 °C, 습도: 52 %
[2026-06-19 14:59:57] DATA_REC_STREAM -> 온도: 16 °C, 습도: 46 %
[2026-06-19 15:00:07] DATA_REC_STREAM -> 온도: 21 °C, 습도: 48 %
[2026-06-19 15:00:17] DATA_REC_STREAM -> 온도: 25 °C, 습도: 56 %
[2026-06-19 15:00:27] DATA_REC_STREAM -> 온도: 27 °C, 습도: 46 %
[2026-06-19 15:00:37] DATA_REC_STREAM -> 온도: 21 °C, 습도: 57 %
[2026-06-19 15:00:47] DATA_REC_STREAM -> 온도: 16 °C, 습도: 43 %
[2026-06-19 15:00:57] DATA_REC_STREAM -> 온도: 22 °C, 습도: 52 %
[2026-06-19 15:01:07] DATA_REC_STREAM -> 온도: 18 °C, 습도: 51 %
[2026-06-19 15:01:17] DATA_REC_STREAM -> 온도: 22 °C, 습도: 45 %
[2026-06-19 15:01:27] DATA_REC_STREAM -> 온도: 19 °C, 습도: 54 %
[2026-06-19 15:01:37] DATA_REC_STREAM -> 온도: 20 °C, 습도: 44 %
[2026-06-19 15:01:47] DATA_REC_STREAM -> 온도: 17 °C, 습도: 65 %
[2026-06-19 15:01:57] DATA_REC_STREAM -> 온도: 24 °C, 습도: 43 %
[2026-06-19 15:02:07] DATA_REC_STREAM -> 온도: 27 °C, 습도: 57 %
[2026-06-19 15:02:17] DATA_REC_STREAM -> 온도: 19 °C, 습도: 60 %
[2026-06-19 15:02:27] DATA_REC_STREAM -> 온도: 28 °C, 습도: 65 %
[2026-06-19 15:02:37] DATA_REC_STREAM -> 온도: 23 °C, 습도: 40 %
[2026-06-19 15:02:47] DATA_REC_STREAM -> 온도: 20 °C, 습도: 65 %
[2026-06-19 15:02:57] DATA_REC_STREAM -> 온도: 17 °C, 습도: 62 %
[2026-06-19 15:03:07] DATA_REC_STREAM -> 온도: 15 °C, 습도: 49 %
[2026-06-19 15:03:17] DATA_REC_STREAM -> 온도: 23 °C, 습도: 56 %
[2026-06-19 15:03:27] DATA_REC_STREAM -> 온도: 25 °C, 습도: 62 %
[2026-06-19 15:03:37] DATA_REC_STREAM -> 온도: 18 °C, 습도: 62 %
[2026-06-19 15:03:47] DATA_REC_STREAM -> 온도: 16 °C, 습도: 63 %
[2026-06-19 15:03:57] DATA_REC_STREAM -> 온도: 16 °C, 습도: 61 %
[2026-06-19 15:04:07] DATA_REC_STREAM -> 온도: 26 °C, 습도: 63 %
[2026-06-19 15:04:17] DATA_REC_STREAM -> 온도: 18 °C, 습도: 64 %
[2026-06-19 15:04:27] DATA_REC_STREAM -> 온도: 27 °C, 습도: 54 %
[2026-06-19 15:04:37] DATA_REC_STREAM -> 온도: 24 °C, 습도: 40 %
[2026-06-19 15:04:47] DATA_REC_STREAM -> 온도: 26 °C, 습도: 47 %
[2026-06-19 15:04:57] DATA_REC_STREAM -> 온도: 20 °C, 습도: 63 %
[2026-06-19 15:05:07] DATA_REC_STREAM -> 온도: 23 °C, 습도: 58 %
[2026-06-19 15:05:17] DATA_REC_STREAM -> 온도: 19 °C, 습도: 41 %
[2026-06-19 15:05:27] DATA_REC_STREAM -> 온도: 24 °C, 습도: 46 %
[2026-06-19 15:05:37] DATA_REC_STREAM -> 온도: 22 °C, 습도: 46 %
[2026-06-19 15:05:47] DATA_REC_STREAM -> 온도: 17 °C, 습도: 55 %
[2026-06-19 15:05:57] DATA_REC_STREAM -> 온도: 28 °C, 습도: 52 %
[2026-06-19 15:06:07] DATA_REC_STREAM -> 온도: 21 °C, 습도: 41 %
[2026-06-19 15:06:17] DATA_REC_STREAM -> 온도: 17 °C, 습도: 60 %
[2026-06-19 15:06:27] DATA_REC_STREAM -> 온도: 18 °C, 습도: 43 %
[2026-06-19 15:06:37] DATA_REC_STREAM -> 온도: 21 °C, 습도: 59 %
[2026-06-19 15:06:47] DATA_REC_STREAM -> 온도: 25 °C, 습도: 65 %
[2026-06-19 15:06:57] DATA_REC_STREAM -> 온도: 24 °C, 습도: 46 %
[2026-06-19 15:07:07] DATA_REC_STREAM -> 온도: 20 °C, 습도: 46 %
[2026-06-19 15:07:17] DATA_REC_STREAM -> 온도: 26 °C, 습도: 40 %
[2026-06-19 15:07:27] DATA_REC_STREAM -> 온도: 20 °C, 습도: 65 %
[2026-06-19 15:07:37] DATA_REC_STREAM -> 온도: 21 °C, 습도: 54 %
[2026-06-19 15:07:47] DATA_REC_STREAM -> 온도: 18 °C, 습도: 46 %
[2026-06-19 15:07:57] DATA_REC_STREAM -> 온도: 18 °C, 습도: 56 %
[2026-06-19 15:08:07] DATA_REC_STREAM -> 온도: 26 °C, 습도: 47 %
[2026-06-19 15:08:17] DATA_REC_STREAM -> 온도: 23 °C, 습도: 60 %
[2026-06-19 15:08:27] DATA_REC_STREAM -> 온도: 28 °C, 습도: 60 %
[2026-06-19 15:08:37] DATA_REC_STREAM -> 온도: 21 °C, 습도: 63 %
[2026-06-19 15:08:47] DATA_REC_STREAM -> 온도: 15 °C, 습도: 47 %
[2026-06-19 15:08:57] DATA_REC_STREAM -> 온도: 19 °C, 습도: 43 %
[2026-06-19 15:09:07] DATA_REC_STREAM -> 온도: 23 °C, 습도: 43 %
[2026-06-19 15:09:17] DATA_REC_STREAM -> 온도: 17 °C, 습도: 44 %
[2026-06-19 15:09:27] DATA_REC_STREAM -> 온도: 16 °C, 습도: 48 %
[2026-06-19 15:09:37] DATA_REC_STREAM -> 온도: 20 °C, 습도: 44 %
[2026-06-19 15:09:47] DATA_REC_STREAM -> 온도: 16 °C, 습도: 62 %
[2026-06-19 15:09:57] DATA_REC_STREAM -> 온도: 24 °C, 습도: 48 %
[2026-06-19 15:10:07] DATA_REC_STREAM -> 온도: 23 °C, 습도: 41 %
[2026-06-19 15:10:17] DATA_REC_STREAM -> 온도: 18 °C, 습도: 52 %
[2026-06-19 15:10:27] DATA_REC_STREAM -> 온도: 21 °C, 습도: 50 %
[2026-06-19 15:10:37] DATA_REC_STREAM -> 온도: 24 °C, 습도: 63 %
[2026-06-19 15:10:47] DATA_REC_STREAM -> 온도: 17 °C, 습도: 42 %
[2026-06-19 15:10:57] DATA_REC_STREAM -> 온도: 25 °C, 습도: 64 %
[2026-06-19 15:11:07] DATA_REC_STREAM -> 온도: 18 °C, 습도: 51 %
[2026-06-19 15:11:17] DATA_REC_STREAM -> 온도: 26 °C, 습도: 63 %
[2026-06-19 15:11:27] DATA_REC_STREAM -> 온도: 27 °C, 습도: 63 %
[2026-06-19 15:11:37] DATA_REC_STREAM -> 온도: 15 °C, 습도: 48 %
[2026-06-19 15:11:47] DATA_REC_STREAM -> 온도: 23 °C, 습도: 53 %
[2026-06-19 15:11:57] DATA_REC_STREAM -> 온도: 21 °C, 습도: 48 %
[2026-06-19 15:12:07] DATA_REC_STREAM -> 온도: 26 °C, 습도: 40 %
[2026-06-19 15:12:17] DATA_REC_STREAM -> 온도: 19 °C, 습도: 64 %
[2026-06-19 15:12:27] DATA_REC_STREAM -> 온도: 15 °C, 습도: 47 %
[2026-06-19 15:12:37] DATA_REC_STREAM -> 온도: 16 °C, 습도: 55 %
[2026-06-19 15:12:47] DATA_REC_STREAM -> 온도: 17 °C, 습도: 59 %
[2026-06-19 15:12:57] DATA_REC_STREAM -> 온도: 20 °C, 습도: 52 %
[2026-06-19 15:13:07] DATA_REC_STREAM -> 온도: 19 °C, 습도: 47 %
[2026-06-19 15:13:17] DATA_REC_STREAM -> 온도: 16 °C, 습도: 43 %
[2026-06-19 15:13:27] DATA_REC_STREAM -> 온도: 23 °C, 습도: 44 %
[2026-06-19 15:13:37] DATA_REC_STREAM -> 온도: 24 °C, 습도: 42 %
[2026-06-19 15:13:47] DATA_REC_STREAM -> 온도: 17 °C, 습도: 56 %
[2026-06-19 15:13:57] DATA_REC_STREAM -> 온도: 27 °C, 습도: 50 %
[2026-06-19 15:14:07] DATA_REC_STREAM -> 온도: 26 °C, 습도: 53 %
[2026-06-19 15:14:17] DATA_REC_STREAM -> 온도: 21 °C, 습도: 64 %
[2026-06-19 15:14:27] DATA_REC_STREAM -> 온도: 22 °C, 습도: 53 %
[2026-06-19 15:14:37] DATA_REC_STREAM -> 온도: 19 °C, 습도: 56 %
[2026-06-19 15:14:47] DATA_REC_STREAM -> 온도: 25 °C, 습도: 41 %
[2026-06-19 15:14:57] DATA_REC_STREAM -> 온도: 20 °C, 습도: 48 %
[2026-06-19 15:15:07] DATA_REC_STREAM -> 온도: 17 °C, 습도: 48 %
[2026-06-19 15:15:17] DATA_REC_STREAM -> 온도: 19 °C, 습도: 63 %
[2026-06-19 15:15:27] DATA_REC_STREAM -> 온도: 20 °C, 습도: 43 %
[2026-06-19 15:15:37] DATA_REC_STREAM -> 온도: 25 °C, 습도: 61 %
[2026-06-19 15:15:47] DATA_REC_STREAM -> 온도: 20 °C, 습도: 55 %
[2026-06-19 15:15:58] DATA_REC_STREAM -> 온도: 15 °C, 습도: 52 %
[2026-06-19 15:16:08] DATA_REC_STREAM -> 온도: 21 °C, 습도: 64 %
[2026-06-19 15:16:18] DATA_REC_STREAM -> 온도: 27 °C, 습도: 58 %
[2026-06-19 15:16:28] DATA_REC_STREAM -> 온도: 22 °C, 습도: 42 %
[2026-06-19 15:16:38] DATA_REC_STREAM -> 온도: 18 °C, 습도: 64 %
[2026-06-19 15:16:48] DATA_REC_STREAM -> 온도: 15 °C, 습도: 42 %
[2026-06-19 15:16:58] DATA_REC_STREAM -> 온도: 28 °C, 습도: 60 %
[2026-06-19 16:38:17] DATA_REC_STREAM -> 온도: 21 °C, 습도: 42 %
[2026-06-19 16:38:28] DATA_REC_STREAM -> 온도: 24 °C, 습도: 65 %
[2026-06-19 17:13:24] DATA_REC_STREAM -> 온도: 22 °C, 습도: 46 %
[2026-06-19 17:16:30] DATA_REC_STREAM -> 온도: 25 °C, 습도: 51 %
[2026-06-19 17:16:40] DATA_REC_STREAM -> 온도: 25 °C, 습도: 63 %
[2026-06-19 17:16:50] DATA_REC_STREAM -> 온도: 16 °C, 습도: 43 %
[2026-06-19 17:17:00] DATA_REC_STREAM -> 온도: 23 °C, 습도: 63 %
[2026-06-19 17:17:10] DATA_REC_STREAM -> 온도: 16 °C, 습도: 51 %
[2026-06-19 17:17:20] DATA_REC_STREAM -> 온도: 16 °C, 습도: 55 %
[2026-06-19 17:17:30] DATA_REC_STREAM -> 온도: 18 °C, 습도: 52 %
[2026-06-19 17:17:40] DATA_REC_STREAM -> 온도: 22 °C, 습도: 62 %
[2026-06-19 17:17:50] DATA_REC_STREAM -> 온도: 16 °C, 습도: 58 %
[2026-06-19 17:18:01] DATA_REC_STREAM -> 온도: 22 °C, 습도: 61 %
[2026-06-19 17:18:11] DATA_REC_STREAM -> 온도: 26 °C, 습도: 55 %
[2026-06-19 17:18:21] DATA_REC_STREAM -> 온도: 17 °C, 습도: 46 %
[2026-06-19 17:18:53] DATA_REC_STREAM -> 온도: 28 °C, 습도: 61 %
[2026-06-19 17:19:03] DATA_REC_STREAM -> 온도: 22 °C, 습도: 40 %
[2026-06-19 17:19:13] DATA_REC_STREAM -> 온도: 16 °C, 습도: 51 %
[2026-06-19 17:19:24] DATA_REC_STREAM -> 온도: 24 °C, 습도: 53 %
[2026-06-19 17:23:22] DATA_REC_STREAM -> 온도: 28 °C, 습도: 53 %
[2026-06-19 17:24:19] DATA_REC_STREAM -> 온도: 17 °C, 습도: 53 %
[2026-06-19 17:55:57] DATA_REC_STREAM -> 온도: 27 °C, 습도: 48 %
[2026-06-19 17:56:07] DATA_REC_STREAM -> 온도: 23 °C, 습도: 48 %
[2026-06-19 17:56:29] DATA_REC_STREAM -> 온도: 16 °C, 습도: 53 %
[2026-06-19 17:56:39] DATA_REC_STREAM -> 온도: 18 °C, 습도: 45 %
[2026-06-19 17:56:49] DATA_REC_STREAM -> 온도: 24 °C, 습도: 42 %
[2026-06-19 17:56:59] DATA_REC_STREAM -> 온도: 19 °C, 습도: 52 %
[2026-06-19 17:57:09] DATA_REC_STREAM -> 온도: 18 °C, 습도: 42 %
[2026-06-19 17:57:19] DATA_REC_STREAM -> 온도: 19 °C, 습도: 61 %
[2026-06-19 18:00:18] DATA_REC_STREAM -> 온도: 25 °C, 습도: 47 %
[2026-06-19 18:00:38] DATA_REC_STREAM -> 온도: 23 °C, 습도: 53 %
[2026-06-19 18:00:48] DATA_REC_STREAM -> 온도: 20 °C, 습도: 53 %
[2026-06-19 18:00:58] DATA_REC_STREAM -> 온도: 28 °C, 습도: 44 %
[2026-06-19 18:01:08] DATA_REC_STREAM -> 온도: 25 °C, 습도: 40 %
[2026-06-19 18:01:18] DATA_REC_STREAM -> 온도: 15 °C, 습도: 47 %
[2026-06-19 18:01:29] DATA_REC_STREAM -> 온도: 25 °C, 습도: 46 %
[2026-06-19 18:01:39] DATA_REC_STREAM -> 온도: 15 °C, 습도: 64 %
[2026-06-19 18:01:49] DATA_REC_STREAM -> 온도: 17 °C, 습도: 50 %
[2026-06-19 18:01:59] DATA_REC_STREAM -> 온도: 27 °C, 습도: 59 %
[2026-06-19 18:02:09] DATA_REC_STREAM -> 온도: 20 °C, 습도: 53 %
[2026-06-19 18:02:19] DATA_REC_STREAM -> 온도: 22 °C, 습도: 55 %
[2026-06-19 18:02:29] DATA_REC_STREAM -> 온도: 24 °C, 습도: 50 %
[2026-06-19 18:02:39] DATA_REC_STREAM -> 온도: 22 °C, 습도: 57 %
[2026-06-19 18:02:49] DATA_REC_STREAM -> 온도: 28 °C, 습도: 63 %
[2026-06-19 18:02:59] DATA_REC_STREAM -> 온도: 23 °C, 습도: 48 %
[2026-06-19 18:03:09] DATA_REC_STREAM -> 온도: 24 °C, 습도: 61 %
[2026-06-19 18:03:19] DATA_REC_STREAM -> 온도: 20 °C, 습도: 54 %
[2026-06-19 18:03:29] DATA_REC_STREAM -> 온도: 18 °C, 습도: 63 %
[2026-06-19 18:04:19] DATA_REC_STREAM -> 온도: 16 °C, 습도: 45 %
[2026-06-19 18:04:29] DATA_REC_STREAM -> 온도: 22 °C, 습도: 41 %
[2026-06-19 18:04:39] DATA_REC_STREAM -> 온도: 16 °C, 습도: 56 %
[2026-06-19 18:04:49] DATA_REC_STREAM -> 온도: 19 °C, 습도: 44 %
[2026-06-19 18:04:59] DATA_REC_STREAM -> 온도: 21 °C, 습도: 57 %
[2026-06-19 18:05:09] DATA_REC_STREAM -> 온도: 23 °C, 습도: 47 %
[2026-06-19 18:05:19] DATA_REC_STREAM -> 온도: 19 °C, 습도: 40 %
[2026-06-19 18:05:29] DATA_REC_STREAM -> 온도: 27 °C, 습도: 64 %
[2026-06-19 18:05:39] DATA_REC_STREAM -> 온도: 15 °C, 습도: 59 %
[2026-06-19 18:05:49] DATA_REC_STREAM -> 온도: 23 °C, 습도: 54 %
[2026-06-19 18:05:59] DATA_REC_STREAM -> 온도: 25 °C, 습도: 59 %
[2026-06-19 18:06:09] DATA_REC_STREAM -> 온도: 24 °C, 습도: 52 %
[2026-06-19 18:06:19] DATA_REC_STREAM -> 온도: 19 °C, 습도: 44 %
[2026-06-19 18:06:29] DATA_REC_STREAM -> 온도: 19 °C, 습도: 61 %
[2026-06-19 18:07:23] DATA_REC_STREAM -> 온도: 21 °C, 습도: 56 %
