[2026-06-12 16:25:00] 데이터 수신 결과 -> 온도: 2°C | 습도: 39% | 선풍기: OFF | 히터: ON
[2026-06-12 16:28:40] 데이터 수신 결과 -> 온도: 30°C | 습도: 51% | 선풍기: ON | 히터: OFF
[2026-06-12 16:28:45] 데이터 수신 결과 -> 온도: 23°C | 습도: 61% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:28:50] 데이터 수신 결과 -> 온도: 25°C | 습도: 66% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:28:55] 데이터 수신 결과 -> 온도: 0°C | 습도: 42% | 선풍기: OFF | 히터: ON
[2026-06-12 16:29:00] 데이터 수신 결과 -> 온도: 27°C | 습도: 63% | 선풍기: ON | 히터: OFF
[2026-06-12 16:29:05] 데이터 수신 결과 -> 온도: 25°C | 습도: 40% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:29:10] 데이터 수신 결과 -> 온도: 9°C | 습도: 37% | 선풍기: OFF | 히터: ON
[2026-06-12 16:29:15] 데이터 수신 결과 -> 온도: 35°C | 습도: 66% | 선풍기: ON | 히터: OFF
[2026-06-12 16:29:20] 데이터 수신 결과 -> 온도: 8°C | 습도: 44% | 선풍기: OFF | 히터: ON
[2026-06-12 16:29:25] 데이터 수신 결과 -> 온도: 31°C | 습도: 38% | 선풍기: ON | 히터: OFF
[2026-06-12 16:29:30] 데이터 수신 결과 -> 온도: 13°C | 습도: 71% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:29:35] 데이터 수신 결과 -> 온도: 33°C | 습도: 59% | 선풍기: ON | 히터: OFF
[2026-06-12 16:29:40] 데이터 수신 결과 -> 온도: 0°C | 습도: 77% | 선풍기: OFF | 히터: ON
[2026-06-12 16:29:45] 데이터 수신 결과 -> 온도: 10°C | 습도: 57% | 선풍기: OFF | 히터: ON
[2026-06-12 16:29:50] 데이터 수신 결과 -> 온도: 16°C | 습도: 72% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:29:55] 데이터 수신 결과 -> 온도: 15°C | 습도: 60% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:30:00] 데이터 수신 결과 -> 온도: 16°C | 습도: 51% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:30:05] 데이터 수신 결과 -> 온도: 29°C | 습도: 60% | 선풍기: ON | 히터: OFF
[2026-06-12 16:30:10] 데이터 수신 결과 -> 온도: 33°C | 습도: 32% | 선풍기: ON | 히터: OFF
[2026-06-12 16:30:15] 데이터 수신 결과 -> 온도: 16°C | 습도: 69% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:30:20] 데이터 수신 결과 -> 온도: 32°C | 습도: 37% | 선풍기: ON | 히터: OFF
[2026-06-12 16:30:25] 데이터 수신 결과 -> 온도: 9°C | 습도: 75% | 선풍기: OFF | 히터: ON
[2026-06-12 16:30:30] 데이터 수신 결과 -> 온도: 26°C | 습도: 60% | 선풍기: ON | 히터: OFF
[2026-06-12 16:30:36] 데이터 수신 결과 -> 온도: 18°C | 습도: 72% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:30:41] 데이터 수신 결과 -> 온도: 5°C | 습도: 69% | 선풍기: OFF | 히터: ON
[2026-06-12 16:30:46] 데이터 수신 결과 -> 온도: 22°C | 습도: 79% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:30:51] 데이터 수신 결과 -> 온도: 11°C | 습도: 62% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:30:56] 데이터 수신 결과 -> 온도: 26°C | 습도: 64% | 선풍기: ON | 히터: OFF
[2026-06-12 16:31:01] 데이터 수신 결과 -> 온도: 32°C | 습도: 33% | 선풍기: ON | 히터: OFF
[2026-06-12 16:31:06] 데이터 수신 결과 -> 온도: 7°C | 습도: 46% | 선풍기: OFF | 히터: ON
[2026-06-12 16:31:11] 데이터 수신 결과 -> 온도: 16°C | 습도: 30% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:31:16] 데이터 수신 결과 -> 온도: 3°C | 습도: 80% | 선풍기: OFF | 히터: ON
[2026-06-12 16:31:21] 데이터 수신 결과 -> 온도: 12°C | 습도: 78% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:31:26] 데이터 수신 결과 -> 온도: 7°C | 습도: 73% | 선풍기: OFF | 히터: ON
[2026-06-12 16:31:31] 데이터 수신 결과 -> 온도: 12°C | 습도: 33% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:31:36] 데이터 수신 결과 -> 온도: 35°C | 습도: 78% | 선풍기: ON | 히터: OFF
[2026-06-12 16:31:41] 데이터 수신 결과 -> 온도: 13°C | 습도: 54% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:31:46] 데이터 수신 결과 -> 온도: 22°C | 습도: 68% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:31:51] 데이터 수신 결과 -> 온도: 4°C | 습도: 75% | 선풍기: OFF | 히터: ON
[2026-06-12 16:31:56] 데이터 수신 결과 -> 온도: 11°C | 습도: 42% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:32:01] 데이터 수신 결과 -> 온도: 8°C | 습도: 71% | 선풍기: OFF | 히터: ON
[2026-06-12 16:32:06] 데이터 수신 결과 -> 온도: 15°C | 습도: 30% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:32:08] 데이터 수신 결과 -> 온도: 14°C | 습도: 80% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:32:11] 데이터 수신 결과 -> 온도: 23°C | 습도: 80% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:32:11] 데이터 수신 결과 -> 온도: 14°C | 습도: 32% | 선풍기: OFF | 히터: OFF
[2026-06-12 16:32:16] 데이터 수신 결과 -> 온도: 34°C | 습도: 51% | 선풍기: ON | 히터: OFF
[2026-06-12 16:32:21] 데이터 수신 결과 -> 온도: 9°C | 습도: 74% | 선풍기: OFF | 히터: ON
[2026-06-12 17:16:19] 데이터 수신 결과 -> 온도: 32°C | 습도: 52% | 선풍기: ON | 히터: OFF
[2026-06-12 17:16:19] 시스템이 성공적으로 시작되었습니다.
[2026-06-12 17:16:24] 데이터 수신 결과 -> 온도: 34°C | 습도: 65% | 선풍기: ON | 히터: OFF
[2026-06-12 17:16:25] 데이터 수신 결과 -> 온도: 11°C | 습도: 32% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:16:25] 데이터 수신 결과 -> 온도: 18°C | 습도: 78% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:16:26] 데이터 수신 결과 -> 온도: 28°C | 습도: 80% | 선풍기: ON | 히터: OFF
[2026-06-12 17:16:29] 데이터 수신 결과 -> 온도: 3°C | 습도: 73% | 선풍기: OFF | 히터: ON
[2026-06-12 17:16:34] 데이터 수신 결과 -> 온도: 20°C | 습도: 58% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:16:39] 데이터 수신 결과 -> 온도: 28°C | 습도: 66% | 선풍기: ON | 히터: OFF
[2026-06-12 17:16:44] 데이터 수신 결과 -> 온도: 16°C | 습도: 36% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:16:49] 데이터 수신 결과 -> 온도: 16°C | 습도: 77% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:16:52] 데이터 수신 결과 -> 온도: 1°C | 습도: 73% | 선풍기: OFF | 히터: ON
[2026-06-12 17:16:53] 데이터 수신 결과 -> 온도: 9°C | 습도: 49% | 선풍기: OFF | 히터: ON
[2026-06-12 17:16:53] 데이터 수신 결과 -> 온도: 13°C | 습도: 66% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:16:53] 데이터 수신 결과 -> 온도: 21°C | 습도: 41% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:16:54] 데이터 수신 결과 -> 온도: 15°C | 습도: 79% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:16:54] 데이터 수신 결과 -> 온도: 20°C | 습도: 72% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:16:54] 데이터 수신 결과 -> 온도: 6°C | 습도: 55% | 선풍기: OFF | 히터: ON
[2026-06-12 17:16:54] 데이터 수신 결과 -> 온도: 28°C | 습도: 33% | 선풍기: ON | 히터: OFF
[2026-06-12 17:16:54] 데이터 수신 결과 -> 온도: 28°C | 습도: 32% | 선풍기: ON | 히터: OFF
[2026-06-12 17:16:54] 데이터 수신 결과 -> 온도: 33°C | 습도: 63% | 선풍기: ON | 히터: OFF
[2026-06-12 17:16:54] 데이터 수신 결과 -> 온도: 25°C | 습도: 67% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:16:55] 데이터 수신 결과 -> 온도: 25°C | 습도: 74% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:16:55] 데이터 수신 결과 -> 온도: 30°C | 습도: 59% | 선풍기: ON | 히터: OFF
[2026-06-12 17:16:59] 데이터 수신 결과 -> 온도: 7°C | 습도: 78% | 선풍기: OFF | 히터: ON
[2026-06-12 17:17:04] 데이터 수신 결과 -> 온도: 24°C | 습도: 52% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:17:09] 데이터 수신 결과 -> 온도: 31°C | 습도: 54% | 선풍기: ON | 히터: OFF
[2026-06-12 17:17:14] 데이터 수신 결과 -> 온도: 12°C | 습도: 40% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:17:19] 데이터 수신 결과 -> 온도: 23°C | 습도: 35% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:17:24] 데이터 수신 결과 -> 온도: 31°C | 습도: 79% | 선풍기: ON | 히터: OFF
[2026-06-12 17:17:29] 데이터 수신 결과 -> 온도: 12°C | 습도: 54% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:17:34] 데이터 수신 결과 -> 온도: 14°C | 습도: 59% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:17:35] 데이터 수신 결과 -> 온도: 9°C | 습도: 60% | 선풍기: OFF | 히터: ON
[2026-06-12 17:17:35] 데이터 수신 결과 -> 온도: 13°C | 습도: 65% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:17:35] 데이터 수신 결과 -> 온도: 25°C | 습도: 76% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:17:36] 데이터 수신 결과 -> 온도: 24°C | 습도: 62% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:17:36] 데이터 수신 결과 -> 온도: 11°C | 습도: 69% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:17:39] 데이터 수신 결과 -> 온도: 10°C | 습도: 68% | 선풍기: OFF | 히터: ON
[2026-06-12 17:17:44] 데이터 수신 결과 -> 온도: 2°C | 습도: 40% | 선풍기: OFF | 히터: ON
[2026-06-12 17:17:49] 데이터 수신 결과 -> 온도: 20°C | 습도: 62% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:17:54] 데이터 수신 결과 -> 온도: 27°C | 습도: 33% | 선풍기: ON | 히터: OFF
[2026-06-12 17:17:59] 데이터 수신 결과 -> 온도: 10°C | 습도: 78% | 선풍기: OFF | 히터: ON
[2026-06-12 17:18:04] 데이터 수신 결과 -> 온도: 11°C | 습도: 42% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:18:09] 데이터 수신 결과 -> 온도: 24°C | 습도: 50% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:18:14] 데이터 수신 결과 -> 온도: 12°C | 습도: 71% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:18:19] 데이터 수신 결과 -> 온도: 30°C | 습도: 46% | 선풍기: ON | 히터: OFF
[2026-06-12 17:18:24] 데이터 수신 결과 -> 온도: 13°C | 습도: 62% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:18:29] 데이터 수신 결과 -> 온도: 11°C | 습도: 41% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:18:34] 데이터 수신 결과 -> 온도: 12°C | 습도: 63% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:18:39] 데이터 수신 결과 -> 온도: 32°C | 습도: 73% | 선풍기: ON | 히터: OFF
[2026-06-12 17:18:44] 데이터 수신 결과 -> 온도: 32°C | 습도: 58% | 선풍기: ON | 히터: OFF
[2026-06-12 17:18:49] 데이터 수신 결과 -> 온도: 28°C | 습도: 58% | 선풍기: ON | 히터: OFF
[2026-06-12 17:18:54] 데이터 수신 결과 -> 온도: 23°C | 습도: 60% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:18:59] 데이터 수신 결과 -> 온도: 35°C | 습도: 39% | 선풍기: ON | 히터: OFF
[2026-06-12 17:19:04] 데이터 수신 결과 -> 온도: 23°C | 습도: 39% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:19:09] 데이터 수신 결과 -> 온도: 28°C | 습도: 33% | 선풍기: ON | 히터: OFF
[2026-06-12 17:19:14] 데이터 수신 결과 -> 온도: 4°C | 습도: 63% | 선풍기: OFF | 히터: ON
[2026-06-12 17:19:19] 데이터 수신 결과 -> 온도: 18°C | 습도: 35% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:19:24] 데이터 수신 결과 -> 온도: 22°C | 습도: 69% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:19:29] 데이터 수신 결과 -> 온도: 33°C | 습도: 31% | 선풍기: ON | 히터: OFF
[2026-06-12 17:19:34] 데이터 수신 결과 -> 온도: 19°C | 습도: 54% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:19:39] 데이터 수신 결과 -> 온도: 9°C | 습도: 38% | 선풍기: OFF | 히터: ON
[2026-06-12 17:19:44] 데이터 수신 결과 -> 온도: 23°C | 습도: 71% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:19:49] 데이터 수신 결과 -> 온도: 33°C | 습도: 72% | 선풍기: ON | 히터: OFF
[2026-06-12 17:19:54] 데이터 수신 결과 -> 온도: 7°C | 습도: 51% | 선풍기: OFF | 히터: ON
[2026-06-12 17:19:59] 데이터 수신 결과 -> 온도: 34°C | 습도: 38% | 선풍기: ON | 히터: OFF
[2026-06-12 17:20:04] 데이터 수신 결과 -> 온도: 20°C | 습도: 42% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:20:09] 데이터 수신 결과 -> 온도: 14°C | 습도: 36% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:20:14] 데이터 수신 결과 -> 온도: 18°C | 습도: 32% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:20:19] 데이터 수신 결과 -> 온도: 18°C | 습도: 32% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:20:24] 데이터 수신 결과 -> 온도: 12°C | 습도: 70% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:20:29] 데이터 수신 결과 -> 온도: 34°C | 습도: 48% | 선풍기: ON | 히터: OFF
[2026-06-12 17:20:34] 데이터 수신 결과 -> 온도: 16°C | 습도: 53% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:20:39] 데이터 수신 결과 -> 온도: 14°C | 습도: 53% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:20:44] 데이터 수신 결과 -> 온도: 21°C | 습도: 68% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:20:49] 데이터 수신 결과 -> 온도: 35°C | 습도: 71% | 선풍기: ON | 히터: OFF
[2026-06-12 17:20:54] 데이터 수신 결과 -> 온도: 3°C | 습도: 32% | 선풍기: OFF | 히터: ON
[2026-06-12 17:20:59] 데이터 수신 결과 -> 온도: 33°C | 습도: 53% | 선풍기: ON | 히터: OFF
[2026-06-12 17:21:04] 데이터 수신 결과 -> 온도: 6°C | 습도: 65% | 선풍기: OFF | 히터: ON
[2026-06-12 17:21:09] 데이터 수신 결과 -> 온도: 17°C | 습도: 69% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:21:14] 데이터 수신 결과 -> 온도: 32°C | 습도: 55% | 선풍기: ON | 히터: OFF
[2026-06-12 17:21:19] 데이터 수신 결과 -> 온도: 32°C | 습도: 49% | 선풍기: ON | 히터: OFF
[2026-06-12 17:21:24] 데이터 수신 결과 -> 온도: 7°C | 습도: 31% | 선풍기: OFF | 히터: ON
[2026-06-12 17:21:29] 데이터 수신 결과 -> 온도: 19°C | 습도: 79% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:21:34] 데이터 수신 결과 -> 온도: 30°C | 습도: 54% | 선풍기: ON | 히터: OFF
[2026-06-12 17:21:39] 데이터 수신 결과 -> 온도: 3°C | 습도: 63% | 선풍기: OFF | 히터: ON
[2026-06-12 17:21:44] 데이터 수신 결과 -> 온도: 29°C | 습도: 55% | 선풍기: ON | 히터: OFF
[2026-06-12 17:21:49] 데이터 수신 결과 -> 온도: 10°C | 습도: 61% | 선풍기: OFF | 히터: ON
[2026-06-12 17:21:54] 데이터 수신 결과 -> 온도: 11°C | 습도: 55% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:21:59] 데이터 수신 결과 -> 온도: 6°C | 습도: 41% | 선풍기: OFF | 히터: ON
[2026-06-12 17:22:04] 데이터 수신 결과 -> 온도: 4°C | 습도: 35% | 선풍기: OFF | 히터: ON
[2026-06-12 17:22:09] 데이터 수신 결과 -> 온도: 1°C | 습도: 72% | 선풍기: OFF | 히터: ON
[2026-06-12 17:22:14] 데이터 수신 결과 -> 온도: 31°C | 습도: 53% | 선풍기: ON | 히터: OFF
[2026-06-12 17:22:19] 데이터 수신 결과 -> 온도: 11°C | 습도: 47% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:22:24] 데이터 수신 결과 -> 온도: 26°C | 습도: 61% | 선풍기: ON | 히터: OFF
[2026-06-12 17:22:29] 데이터 수신 결과 -> 온도: 17°C | 습도: 64% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:22:34] 데이터 수신 결과 -> 온도: 6°C | 습도: 45% | 선풍기: OFF | 히터: ON
[2026-06-12 17:22:39] 데이터 수신 결과 -> 온도: 30°C | 습도: 66% | 선풍기: ON | 히터: OFF
[2026-06-12 17:22:44] 데이터 수신 결과 -> 온도: 5°C | 습도: 66% | 선풍기: OFF | 히터: ON
[2026-06-12 17:22:49] 데이터 수신 결과 -> 온도: 27°C | 습도: 63% | 선풍기: ON | 히터: OFF
[2026-06-12 17:22:54] 데이터 수신 결과 -> 온도: 6°C | 습도: 74% | 선풍기: OFF | 히터: ON
[2026-06-12 17:22:59] 데이터 수신 결과 -> 온도: 25°C | 습도: 45% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:23:04] 데이터 수신 결과 -> 온도: 29°C | 습도: 30% | 선풍기: ON | 히터: OFF
[2026-06-12 17:23:09] 데이터 수신 결과 -> 온도: 25°C | 습도: 34% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:23:14] 데이터 수신 결과 -> 온도: 20°C | 습도: 77% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:23:19] 데이터 수신 결과 -> 온도: 0°C | 습도: 64% | 선풍기: OFF | 히터: ON
[2026-06-12 17:23:24] 데이터 수신 결과 -> 온도: 34°C | 습도: 40% | 선풍기: ON | 히터: OFF
[2026-06-12 17:23:29] 데이터 수신 결과 -> 온도: 25°C | 습도: 55% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:23:34] 데이터 수신 결과 -> 온도: 7°C | 습도: 42% | 선풍기: OFF | 히터: ON
[2026-06-12 17:23:39] 데이터 수신 결과 -> 온도: 32°C | 습도: 42% | 선풍기: ON | 히터: OFF
[2026-06-12 17:23:44] 데이터 수신 결과 -> 온도: 29°C | 습도: 78% | 선풍기: ON | 히터: OFF
[2026-06-12 17:23:49] 데이터 수신 결과 -> 온도: 28°C | 습도: 47% | 선풍기: ON | 히터: OFF
[2026-06-12 17:23:54] 데이터 수신 결과 -> 온도: 3°C | 습도: 62% | 선풍기: OFF | 히터: ON
[2026-06-12 17:23:59] 데이터 수신 결과 -> 온도: 17°C | 습도: 66% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:24:04] 데이터 수신 결과 -> 온도: 20°C | 습도: 45% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:24:09] 데이터 수신 결과 -> 온도: 9°C | 습도: 48% | 선풍기: OFF | 히터: ON
[2026-06-12 17:24:14] 데이터 수신 결과 -> 온도: 25°C | 습도: 50% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:24:19] 데이터 수신 결과 -> 온도: 7°C | 습도: 35% | 선풍기: OFF | 히터: ON
[2026-06-12 17:24:24] 데이터 수신 결과 -> 온도: 23°C | 습도: 63% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:24:29] 데이터 수신 결과 -> 온도: 32°C | 습도: 45% | 선풍기: ON | 히터: OFF
[2026-06-12 17:24:34] 데이터 수신 결과 -> 온도: 20°C | 습도: 56% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:24:39] 데이터 수신 결과 -> 온도: 9°C | 습도: 30% | 선풍기: OFF | 히터: ON
[2026-06-12 17:24:44] 데이터 수신 결과 -> 온도: 14°C | 습도: 63% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:24:49] 데이터 수신 결과 -> 온도: 18°C | 습도: 48% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:24:54] 데이터 수신 결과 -> 온도: 10°C | 습도: 49% | 선풍기: OFF | 히터: ON
[2026-06-12 17:24:59] 데이터 수신 결과 -> 온도: 9°C | 습도: 80% | 선풍기: OFF | 히터: ON
[2026-06-12 17:25:04] 데이터 수신 결과 -> 온도: 11°C | 습도: 47% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:25:09] 데이터 수신 결과 -> 온도: 34°C | 습도: 76% | 선풍기: ON | 히터: OFF
[2026-06-12 17:25:14] 데이터 수신 결과 -> 온도: 2°C | 습도: 59% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:19] 데이터 수신 결과 -> 온도: 2°C | 습도: 67% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:19] 시스템이 성공적으로 시작되었습니다.
[2026-06-12 17:47:24] 데이터 수신 결과 -> 온도: 4°C | 습도: 44% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:26] 데이터 수신 결과 -> 온도: 1°C | 습도: 65% | 선풍기: OFF | 히터: ON
[2026-06-12 17:47:27] 데이터 수신 결과 -> 온도: 20°C | 습도: 68% | 선풍기: OFF | 히터: OFF
[2026-06-12 17:47:28] 데이터 수신 결과 -> 온도: 10°C | 습도: 75% | 선풍기: OFF | 히터: ON
